"country","unemploymentRate","pop2020"
"Cambodia","0.3000","16718.9650"
"Qatar","0.6000","2881.0530"
"Thailand","0.7000","69799.9780"
"Benin","1","12123.2000"
"Belarus","1","9449.3230"
"Gibraltar","1","33.6910"
"Falkland Islands","1","3.4800"
"Tonga","1.1000","105.6950"
"Isle of Man","1.1000","85.0330"
"Laos","1.5000","7275.5600"
"United Arab Emirates","1.6000","9890.4020"
"Vanuatu","1.7000","307.1450"
"Palau","1.7000","18.0940"
"Macau","2","649.3350"
"Monaco","2","39.2420"
"Madagascar","2.1000","27691.0180"
"Kuwait","2.1000","4270.5710"
"Vietnam","2.2000","97338.5790"
"Cuba","2.2000","11326.6160"
"Singapore","2.2000","5850.3420"
"Faroe Islands","2.2000","48.8630"
"Guatemala","2.3000","17915.5680"
"Tajikistan","2.4000","9537.6450"
"Liechtenstein","2.4000","38.1280"
"Papua New Guinea","2.5000","8947.0240"
"Niger","2.6000","24206.6440"
"Rwanda","2.7000","12952.2180"
"Guinea","2.8000","13132.7950"
"Czech Republic","2.8000","10708.9810"
"Liberia","2.8000","5057.6810"
"Iceland","2.8000","341.2430"
"Japan","2.9000","126476.4610"
"Maldives","2.9000","540.5440"
"British Virgin Islands","2.9000","30.2310"
"Nepal","3","29136.8080"
"Switzerland","3","8654.6220"
"Hong Kong","3.1000","7496.9810"
"Bhutan","3.2000","771.6080"
"Malaysia","3.4000","32365.9990"
"Mexico","3.6000","128932.7530"
"South Korea","3.7000","51269.1850"
"Andorra","3.7000","77.2650"
"Germany","3.8000","83783.9420"
"Taiwan","3.8000","23816.7750"
"Bahrain","3.8000","1701.5750"
"China","3.9000","1439323.7760"
"Bangladesh","4","164689.3830"
"Myanmar","4","54409.8000"
"Bolivia","4","11673.0210"
"Norway","4","5421.2410"
"Cayman Islands","4","65.7220"
"Moldova","4.1000","4033.9630"
"Seychelles","4.1000","98.3470"
"Cameroon","4.3000","26545.8630"
"Israel","4.3000","8655.5350"
"United States","4.4000","331002.6510"
"United Kingdom","4.4000","67886.0110"
"Hungary","4.4000","9660.3510"
"Timor-Leste","4.4000","1318.4450"
