Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,population,Employment rate
Finland,Western Europe,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,0.07460740659962752,0.195444584,5540.72,91.4
Denmark,Western Europe,7.645599842,10.77400112,0.955990791,72.40250397,0.951444268,0.11830181186554,0.168489456,5792.202,94.2
Switzerland,Western Europe,7.559899807,10.97993279,0.942846596,74.10244751,0.921336651,0.13124046112667487,0.303728431,8654.622,97
Iceland,Western Europe,7.504499912,10.77255917,0.974669576,73,0.948891878,0.17430831973165903,0.711709738,341.243,97.2
Norway,Western Europe,7.487999916,11.08780384,0.952486575,73.20078278,0.955750287,0.14033296382189997,0.263218194,5421.241,96
Netherlands,Western Europe,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.1627205303226468,0.364717126,17134.872,95.2
Sweden,Western Europe,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.13306762589864635,0.250880182,10099.265,93.4
New Zealand,North America and ANZ,7.299600124,10.50094318,0.949118972,73.20262909,0.936217487,0.1579124091889527,0.22113885,4822.233,95.1
Austria,Western Europe,7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.12461492679879016,0.499954879,9006.398,94.5
Luxembourg,Western Europe,7.237500191,11.45068073,0.906912208,72.59999847,0.90563643,0.09422290611455664,0.367084295,625.978,93.9
Canada,North America and ANZ,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.1372531603581001,0.390843362,37742.154,93.5
Australia,North America and ANZ,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.15756873035261149,0.41516912,25499.884,94.4
United Kingdom,Western Europe,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.17916179746338534,0.435915917,67886.011,95.6
Israel,Middle East and North Africa,7.128600121,10.41752529,0.913571239,73.20025635,0.747580588,0.13017419869311042,0.78085506,8655.535,95.7
Costa Rica,Latin America and Caribbean,7.121399879,9.658156395,0.901545942,71.29985046,0.934738934,0.058608450560335874,0.786332428,5094.118,91.9
Ireland,Western Europe,7.093699932,11.16097832,0.942081571,72.30078888,0.886982977,0.1438561174447457,0.357184172,4937.786,93.6
Germany,Western Europe,7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.12290029025854757,0.456422031,83783.942,96.2
United States,North America and ANZ,6.939599991,10.92576885,0.914219022,68.29949951,0.842619538,0.1451348743204186,0.699715316,331002.651,95.6
Czech Republic,Central and Eastern Europe,6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,0.006914582220863353,0.85844624,10708.981,97.2
Belgium,Western Europe,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,0.06752432149402751,0.612297952,11589.623,92.7
United Arab Emirates,Middle East and North Africa,6.790800095,11.1099987,0.849181116,67.08278656,0.941345513,0.13683505206196278,0.594502211,9890.402,98.4
Malta,Western Europe,6.772799969,10.53383827,0.93037951,72.19999695,0.924911439,0.16491058228101177,0.658547282,441.543,95.6
France,Western Europe,6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,0.04776862403073243,0.583521128,65273.511,90.5
Mexico,Latin America and Caribbean,6.465000153,9.797797203,0.838665426,68.29902649,0.858709276,0.030050426107658776,0.806821585,128932.753,96.4
Taiwan Province of China,East Asia,6.45539999,10.77568531,0.894309103,69.59999847,0.77153033,0.06956141605426733,0.73188293,23574,96.33
